 	Area	StdDev	XM	YM	Slice
1	246	9841.631	291.785	175.836	1
2	271	11063.066	435.710	178.452	1
3	256	10549.280	364.774	178.728	1
4	372	8194.802	291.445	176.003	2
5	433	7492.030	435.471	178.262	2
6	427	7303.956	364.685	178.634	2
7	437	4495.973	291.997	175.550	3
8	452	3611.558	435.350	177.702	3
9	447	3661.647	364.735	178.169	3
10	249	10131.139	291.988	175.982	4
11	265	11060.981	435.954	178.851	4
12	265	10538.382	365.101	178.793	4
13	369	8384.077	291.513	175.832	5
14	428	7365.882	364.822	178.650	5
15	429	7756.734	435.634	178.822	5
16	436	4521.173	292.137	175.359	6
17	449	3749.199	364.972	178.214	6
18	455	3811.863	435.582	178.392	6
19	252	9937.143	292.760	175.621	7
20	249	10618.947	365.913	178.884	7
21	249	11226.540	436.790	179.489	7
22	379	8116.263	292.289	175.637	8
23	426	7452.680	365.637	178.686	8
24	414	8214.015	436.478	178.720	8
25	434	4424.966	292.766	175.184	9
26	446	3791.763	365.550	178.467	9
27	450	4014.758	436.260	178.632	9
28	246	9931.964	293.133	175.856	10
29	266	10443.918	366.343	179.002	10
30	264	11021.142	437.203	179.292	10
31	382	7824.232	292.849	175.860	11
32	431	7778.764	437.089	178.604	11
33	428	7276.859	366.280	178.550	11
34	445	4193.750	293.131	175.378	12
35	451	3625.048	366.056	178.079	12
36	455	3772.811	436.767	178.327	12
37	238	10069.955	293.487	175.672	13
38	265	11027.653	437.501	178.687	13
39	254	10510.846	366.677	178.395	13
40	384	8067.083	293.366	175.688	14
41	423	7434.568	366.755	177.908	14
42	431	7768.749	437.552	178.082	14
43	444	4591.003	293.682	175.338	15
44	444	3762.782	366.423	177.358	15
45	455	3647.370	437.083	178.070	15
46	229	10250.532	293.240	175.778	16
47	246	10570.708	366.275	177.918	16
48	258	11074.123	437.083	178.990	16
49	384	8178.875	293.033	175.712	17
50	419	7578.266	366.328	177.439	17
51	429	7717.234	437.018	178.103	17
52	441	4687.898	293.435	175.400	18
53	446	3850.410	366.178	177.255	18
54	456	3680.507	436.744	178.007	18
55	234	10181.868	293.484	174.937	19
56	260	10467.542	366.546	177.389	19
57	291	10724.488	437.410	178.230	19
58	386	7804.063	293.188	174.719	20
59	421	7434.380	366.553	176.903	20
60	434	7311.042	437.176	178.027	20
61	451	4479.586	293.590	174.350	21
62	444	3739.508	366.462	176.522	21
63	453	3432.979	437.066	177.456	21
64	241	10103.780	293.214	174.432	22
65	252	10610.246	366.322	176.790	22
66	281	10866.821	437.155	177.900	22
67	373	7920.772	293.063	174.304	23
68	417	7525.419	366.406	176.408	23
69	432	7426.328	437.032	177.428	23
70	455	4462.107	293.520	173.886	24
71	446	3822.934	366.385	176.238	24
72	457	3369.779	436.939	177.171	24
73	245	9913.402	293.985	173.596	25
74	249	10608.719	366.933	176.375	25
75	278	10882.950	437.726	177.657	25
76	390	7689.125	293.434	173.307	26
77	420	7609.723	366.649	176.229	26
78	432	7522.932	437.296	177.309	26
79	452	4342.170	293.984	173.038	27
80	445	3864.056	366.580	175.867	27
81	457	3476.445	437.116	177.209	27
82	245	9648.708	294.096	172.840	28
83	245	10649.709	366.908	176.244	28
84	263	11043.168	437.702	177.430	28
85	384	7708.784	293.912	172.424	29
86	416	7690.810	366.803	176.067	29
87	426	7748.211	437.521	177.353	29
88	453	4320.574	294.204	172.375	30
89	443	3959.798	366.723	175.875	30
90	458	3691.096	437.244	177.139	30
91	243	9689.565	294.270	172.185	31
92	246	10717.800	366.991	175.823	31
93	265	11064.832	437.742	177.123	31
94	351	8072.503	294.062	172.157	32
95	410	7843.719	366.839	175.761	32
96	430	7708.264	437.537	177.054	32
97	449	4441.352	294.192	171.871	33
98	442	4005.606	366.588	175.482	33
99	453	3672.908	437.183	176.813	33
100	245	9468.324	294.404	171.625	34
101	249	10640.849	367.079	175.453	34
102	280	10831.442	437.853	176.974	34
103	353	8002.334	294.450	171.309	35
104	417	7661.148	367.130	175.207	35
105	433	7389.308	437.732	176.400	35
106	448	4433.598	294.777	171.216	36
107	446	3833.696	367.025	174.957	36
108	458	3310.509	437.508	176.383	36
109	242	9604.989	294.406	171.681	37
110	247	10680.342	367.100	174.627	37
111	287	10795.986	437.900	175.873	37
112	357	8102.502	294.503	171.695	38
113	414	7749.780	367.177	174.595	38
114	434	7289.556	437.739	175.977	38
115	450	4499.115	294.764	171.502	39
116	444	3947.081	367.007	174.250	39
117	456	3284.932	437.412	175.780	39
118	247	9590.478	293.999	172.057	40
119	246	10717.046	366.829	174.668	40
120	278	10839.268	437.556	176.631	40
121	356	8244.780	293.988	172.049	41
122	414	7749.558	366.795	174.459	41
123	435	7252.037	437.356	176.171	41
124	451	4677.069	294.344	171.771	42
125	444	4013.941	366.708	174.141	42
126	456	3435.385	437.148	175.944	42
127	246	9195.218	293.518	171.095	43
128	239	10769.708	366.458	173.436	43
129	247	11094.238	437.196	175.323	43
130	352	8050.079	293.544	171.200	44
131	400	8185.334	366.469	173.323	44
132	422	7959.752	436.985	175.153	44
133	451	4699.786	294.023	170.761	45
134	440	4415.187	366.491	172.973	45
135	448	3782.224	436.914	174.566	45
136	253	9152.441	293.589	170.542	46
137	240	10723.161	366.640	173.207	46
138	257	11038.434	437.343	175.103	46
139	378	7787.476	293.598	170.418	47
140	396	8265.477	366.543	172.934	47
141	426	7846.929	437.051	174.609	47
142	447	4494.407	293.883	170.436	48
143	441	4490.001	366.418	172.617	48
144	453	3943.084	436.801	174.189	48
145	255	9088.765	293.327	170.203	49
146	235	10758.340	366.325	173.098	49
147	256	11121.142	437.048	174.933	49
148	384	7692.780	293.241	170.083	50
149	398	8263.352	366.207	172.858	50
150	422	7877.150	436.717	174.608	50
151	455	4613.594	293.471	170.049	51
152	434	4400.485	366.045	172.524	51
153	455	3802.313	436.414	174.129	51
154	249	9339.311	293.256	170.259	52
155	241	10739.061	366.279	172.768	52
156	276	10894.229	437.061	174.173	52
157	359	8214.917	293.166	170.333	53
158	405	8156.535	366.221	172.612	53
159	428	7597.301	436.687	174.232	53
160	442	5007.456	293.295	170.286	54
161	434	4375.019	365.875	172.525	54
162	457	3702.535	436.262	174.177	54
163	258	9408.076	293.397	170.223	55
164	235	10769.257	366.441	172.621	55
165	250	11113.526	437.187	174.403	55
166	354	8318.841	293.486	170.061	56
167	404	8197.983	366.499	172.312	56
168	429	7648.107	436.982	173.834	56
169	444	4888.023	293.640	170.102	57
170	440	4369.067	366.209	172.180	57
171	453	3685.340	436.552	173.861	57
172	263	9483.782	293.452	170.378	58
173	237	10749.598	366.534	172.638	58
174	249	11137.981	437.245	174.393	58
175	367	8046.029	293.683	170.439	59
176	404	8308.408	366.816	172.457	59
177	418	8146.548	437.370	174.174	59
178	444	4435.606	293.776	170.368	60
179	439	4524.176	366.427	172.425	60
180	450	4008.118	436.935	174.462	60
181	263	9735.637	293.714	170.473	61
182	235	10836.886	366.850	172.631	61
183	235	11268.830	437.604	174.123	61
184	366	7991.479	293.981	170.573	62
185	394	8429.836	367.224	172.399	62
186	414	8398.747	437.773	174.097	62
