 	Area	StdDev	XM	YM	Slice
1	404	6945.848	248.420	174.362	1
2	435	5861.375	320.046	180.614	1
3	455	4632.233	248.591	173.971	2
4	464	2702.040	320.147	180.208	2
5	500	2115.944	248.920	173.812	3
6	632	1411.679	320.320	179.835	3
7	391	7223.358	249.058	174.729	4
8	438	5632.674	320.624	181.085	4
9	443	4543.580	249.138	174.162	5
10	475	2615.414	320.707	180.831	5
11	507	2116.912	249.711	173.924	6
12	649	1305.517	321.003	180.609	6
13	392	7129.811	249.330	175.131	7
14	432	5656.326	320.880	181.865	7
15	443	4484.520	249.420	174.816	8
16	471	2610.436	320.822	181.652	8
17	508	2052.968	249.818	174.658	9
18	644	1298.983	321.019	181.207	9
19	401	6826.399	249.242	176.411	10
20	433	5708.631	320.767	182.686	10
21	446	4410.223	249.412	176.445	11
22	470	2602.325	320.753	182.481	11
23	503	1981.836	249.434	176.231	12
24	647	1323.379	320.796	182.130	12
25	395	7027.652	249.394	177.062	13
26	435	5480.734	320.704	183.145	13
27	439	4621.727	249.604	177.211	14
28	473	2486.436	320.783	183.144	14
29	496	2111.573	249.748	177.068	15
30	656	1233.957	320.771	183.070	15
31	390	7177.837	248.945	178.055	16
32	433	5568.284	320.504	184.290	16
33	434	4841.534	248.927	178.046	17
34	470	2541.877	320.572	184.049	17
35	479	2209.113	249.184	178.037	18
36	656	1240.234	320.688	183.866	18
37	382	7187.251	249.086	178.792	19
38	434	5584.677	320.610	185.275	19
39	429	4988.349	249.118	178.605	20
40	475	2553.795	320.607	184.879	20
41	475	2271.792	249.541	178.585	21
42	648	1251.096	320.990	184.623	21
43	366	7500.422	248.642	179.982	22
44	433	5522.222	320.337	186.301	22
45	435	5008.748	248.689	179.923	23
46	481	2553.221	320.388	185.855	23
47	474	2228.559	248.994	179.744	24
48	660	1229.287	320.595	185.587	24
49	367	7457.848	248.437	181.267	25
50	439	5719.106	320.141	187.128	25
51	436	4936.147	248.552	181.175	26
52	478	2601.978	320.135	186.760	26
53	477	2218.064	248.544	180.988	27
54	645	1324.914	320.080	186.505	27
55	301	8341.241	247.438	182.495	28
56	394	8521.738	319.883	188.073	28
57	390	6849.488	247.911	182.424	29
58	443	4649.376	319.647	187.988	29
