 	Area	StdDev	XM	YM	Slice
168	515	5677.069	433.878	146.505	56
169	877	1327.189	289.361	130.976	57
170	555	3044.129	362.302	144.688	57
171	594	3114.676	433.627	146.422	57
172	513	3360.408	289.917	131.552	58
173	442	8381.100	362.614	145.580	58
174	478	8259.475	434.123	147.190	58
175	683	2148.623	289.725	131.096	59
176	486	5873.079	362.403	145.295	59
177	522	5866.121	433.819	147.058	59
178	877	1311.821	289.658	130.799	60
179	550	3038.468	362.246	145.004	60
180	584	3166.001	433.559	146.954	60
181	513	3372.750	289.673	131.643	61
182	442	8376.379	362.362	145.835	61
183	478	8221.110	433.869	147.216	61
184	671	2138.845	289.467	131.278	62
185	484	5831.242	362.133	145.685	62
186	513	5814.267	433.602	147.119	62
187	873	1307.354	289.504	130.889	63
188	555	3023.257	362.006	145.322	63
189	581	3163.876	433.400	146.878	63
190	513	3274.155	289.669	131.979	64
191	444	8327.690	362.209	146.327	64
192	481	8205.963	433.779	147.798	64
193	684	2067.738	289.538	131.832	65
194	481	5856.375	362.081	146.111	65
195	511	5874.266	433.559	147.644	65
196	888	1315.313	289.576	131.587	66
197	552	3015.277	361.875	145.813	66
198	591	3176.982	433.287	147.424	66
199	526	3272.342	289.955	132.481	67
200	440	8355.070	362.388	146.744	67
201	478	8181.777	433.942	148.059	67
202	684	1979.683	289.791	132.387	68
203	481	5876.450	362.193	146.566	68
204	514	5776.938	433.662	147.954	68
205	895	1307.616	289.889	132.179	69
206	555	3027.024	362.080	146.378	69
207	587	3149.549	433.429	147.889	69
208	530	3157.238	290.162	132.570	70
209	444	8285.470	362.438	147.077	70
210	478	8221.107	434.021	148.561	70
211	691	1928.514	290.093	132.293	71
212	480	5823.389	362.257	146.923	71
213	511	5874.121	433.736	148.567	71
214	896	1304.561	290.149	132.148	72
215	551	2980.571	362.114	146.908	72
216	579	3165.142	433.524	148.644	72
217	538	3043.459	290.291	132.409	73
218	448	8262.247	362.315	147.822	73
219	478	8261.520	433.908	149.586	73
220	703	1882.820	290.249	132.000	74
221	485	5833.531	362.163	147.553	74
222	511	5932.765	433.654	149.271	74
223	891	1316.753	290.310	131.873	75
224	554	2982.979	362.105	147.399	75
225	585	3191.732	433.488	149.312	75
226	537	3000.035	290.241	133.336	76
227	448	8242.389	362.197	148.287	76
228	484	8182.030	433.791	150.079	76
229	711	1868.176	290.103	132.912	77
230	478	5780.706	362.040	148.005	77
231	516	5865.715	433.559	149.659	77
232	894	1353.152	290.187	132.543	78
233	564	3030.308	361.965	147.674	78
234	588	3196.660	433.371	149.450	78
235	547	3056.976	290.383	134.178	79
236	451	8237.574	362.471	148.804	79
237	478	8286.329	434.074	150.785	79
238	712	1776.804	290.115	133.886	80
239	490	5827.273	362.274	148.582	80
240	510	5989.040	433.760	150.559	80
241	910	1274.009	290.055	133.540	81
242	552	3023.850	362.249	148.305	81
243	569	3258.669	433.613	150.234	81
244	562	3075.056	290.267	134.763	82
245	447	8296.814	362.439	149.294	82
246	473	8337.726	434.046	151.163	82
