,intensity_raw,intensity_interp
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,2976.2,2919.2
36,2951.6,2884.4
37,2921.2,2821.4
38,2874.4,2785.4
39,2880.4,2803.4
40,2853.8,2754.6
41,2782.2,2690.2
42,2747.4,2669.2
43,2731.0,2675.6
44,2694.4,2619.0
45,2653.0,2584.8
46,2648.2,2571.8
47,2611.6,2549.8
48,2650.8,2593.8
49,2624.0,2577.2
50,2617.0,2561.6
51,2648.0,2611.0
52,2683.6,2637.6
53,2763.2,2747.8
54,2826.8,2793.2
55,2838.6,2819.8
56,2940.8,2904.8
57,3087.2,3104.8
58,3172.6,3174.4
59,3326.0,3361.8
60,3423.8,3484.4
61,3647.8,3750.0
62,3801.8,3906.2
63,4002.0,4090.4
64,4346.0,4487.4
65,4502.2,4604.2
66,4733.6,4972.2
67,4973.4,5193.6
68,5273.8,5549.6
69,5435.6,5703.0
70,5694.2,6044.8
71,5868.0,6252.0
72,6293.4,6706.0
73,6536.6,7006.4
74,6741.2,7175.0
75,6820.6,7270.0
76,7054.8,7460.2
77,7337.8,7828.0
78,7681.4,8191.4
79,7799.4,8317.8
80,7920.4,8441.8
81,8057.0,8604.6
82,8353.4,8942.6
83,8398.2,9026.4
84,8456.8,8986.2
85,8510.2,9052.2
86,8640.4,9250.4
87,8684.8,9174.0
88,8653.0,9212.6
89,8581.6,9094.4
90,8581.2,9094.8
91,8526.6,9014.4
92,8436.0,8909.8
93,8384.4,8795.6
94,8318.8,8733.6
95,8231.2,8677.6
96,8135.0,8458.6
97,8010.4,8273.2
98,7876.4,8157.2
99,7780.6,8009.4
100,7611.0,7786.0
101,7557.8,7761.4
102,7465.4,7626.4
103,7443.6,7545.4
104,7365.8,7433.6
105,7392.8,7477.8
106,7364.4,7400.8
107,7357.6,7381.6
108,7398.4,7378.0
109,7446.2,7353.0
110,7521.0,7456.0
111,7761.0,7663.2
112,7880.0,7835.6
113,7964.2,7882.0
114,8222.6,8168.2
115,8497.0,8413.4
116,8678.8,8569.4
117,9076.2,8985.2
118,9431.0,9299.8
119,9953.4,9825.4
120,10195.8,10186.2
121,10668.0,10631.6
122,11363.2,11376.6
123,11902.0,11987.8
124,12538.0,12628.4
125,12861.0,13005.0
126,13715.2,13806.2
127,14117.6,14295.6
128,14807.2,14973.6
129,15590.2,15840.8
130,16365.4,16709.0
131,16835.6,17209.6
132,17526.2,17954.8
133,18413.6,18863.8
134,18838.0,19314.6
135,19705.8,20293.6
136,20277.6,20850.4
137,21122.2,21862.4
138,21612.8,22375.2
139,22662.0,23465.4
140,23605.4,24438.2
141,23894.2,24741.8
142,24934.0,25810.0
143,25603.0,26686.6
144,26389.2,27471.0
145,27447.2,28638.2
146,28058.2,29298.2
147,28810.6,30082.2
148,29534.2,30953.4
149,30127.6,31539.6
150,31075.6,32451.0
151,31779.0,33392.4
152,32396.2,33903.2
153,33179.0,34794.8
154,33677.8,35497.2
155,34571.2,36393.6
156,35241.4,37008.4
157,35899.6,37769.8
158,36289.8,38146.6
159,37144.6,39030.8
160,37328.0,39297.8
161,37936.8,39915.4
162,38734.6,40760.2
163,39112.4,41207.8
164,39556.2,41777.2
165,39899.4,42139.0
166,40503.4,42796.4
167,40798.6,43042.0
168,41271.0,43545.2
169,41561.0,43771.8
170,41880.4,44165.0
171,42221.8,44550.8
172,42657.8,44958.6
173,42786.0,45151.2
174,43079.2,45403.8
175,43104.2,45383.0
176,43453.0,45685.2
177,43741.0,46049.0
178,43859.2,46177.8
179,43945.6,46211.2
180,44189.6,46438.2
181,44234.8,46422.4
182,44375.6,46604.6
183,44602.0,46697.4
184,44464.6,46677.4
185,44645.2,46679.6
186,44853.4,47058.0
187,44937.4,47045.2
188,45020.4,47144.4
189,45051.6,47119.0
190,44879.4,47193.8
191,44780.2,46904.6
192,45088.8,47220.0
193,45030.8,47266.4
194,44632.8,46681.6
195,44519.4,46451.0
196,44242.8,46100.8
197,44478.6,46390.2
198,44447.2,46531.4
199,44190.4,46073.0
200,43780.8,45631.8
201,43595.2,45432.6
202,43676.0,45469.0
203,43494.8,45321.4
204,43311.0,45096.0
205,43169.6,44957.4
206,42986.8,44732.4
207,42848.2,44599.0
208,42870.2,44590.2
209,42792.6,44601.6
210,42645.2,44435.8
211,42381.6,44228.2
212,42222.8,44050.0
213,41969.6,43745.4
214,41780.4,43462.2
215,41632.6,43427.8
216,41579.2,43273.4
217,41456.0,43122.8
218,41500.4,43181.6
219,41165.2,42884.8
220,41074.6,42689.6
221,40943.2,42576.6
222,40563.6,42171.4
223,40308.6,41904.6
224,39911.6,41510.2
225,39831.4,41373.6
226,39728.8,41300.0
227,39261.2,40678.6
228,38976.6,40330.6
229,38747.4,40164.6
230,38570.4,40000.8
231,38301.2,39686.8
232,38131.6,39629.2
233,37852.0,39213.2
234,37587.2,38969.2
235,37256.6,38585.4
236,36917.2,38360.8
237,36578.4,37933.2
238,36320.6,37564.2
239,36207.2,37494.6
240,35863.2,37148.4
241,35621.2,36980.8
242,35412.0,36652.0
243,34965.2,36115.0
244,34698.2,35927.8
245,34418.8,35532.4
246,34131.6,35277.0
247,33958.6,35193.2
248,33665.2,34800.0
249,33289.8,34342.8
250,32954.6,34002.4
251,32841.0,33847.4
252,32502.4,33689.6
253,32306.4,33343.6
254,32162.0,33154.0
255,31708.8,32706.8
256,31391.6,32454.4
257,31318.8,32365.0
258,30920.4,31852.2
259,30747.6,31809.6
260,30271.0,31227.0
261,30104.8,31063.0
262,29789.6,30607.0
263,29447.0,30265.8
264,29092.4,30047.6
265,28658.0,29451.0
266,28413.8,29205.2
267,28043.8,28952.0
268,27729.8,28515.2
269,27444.2,28218.8
270,27267.0,27967.6
271,26969.8,27780.8
272,26574.4,27380.6
273,26331.2,27142.0
274,26153.2,26984.0
275,25780.0,26412.4
276,25575.8,26139.6
277,25263.0,25989.4
278,25094.0,25757.0
279,24843.4,25516.4
280,24520.0,25158.6
281,24305.0,24982.6
282,23885.6,24525.4
283,23600.4,24147.4
284,23447.0,24092.6
285,23209.8,23889.0
286,22850.6,23400.8
287,22606.0,23214.6
288,22197.0,22792.0
289,21964.8,22461.4
290,21705.4,22297.8
291,21563.8,22084.2
292,21127.8,21606.6
293,20924.8,21468.4
294,20654.4,21159.0
295,20459.0,20854.8
296,20215.4,20668.0
297,20027.4,20507.6
298,19756.8,20130.6
299,19492.0,19909.2
300,19164.8,19637.8
301,19017.4,19520.6
302,18722.0,19171.8
303,18489.2,18942.8
304,18431.8,18885.6
305,18120.2,18475.8
306,17962.2,18409.2
307,17774.6,18256.8
308,17358.2,17806.8
309,17211.4,17631.4
310,17102.4,17466.4
311,16766.4,17169.8
312,16510.8,16800.4
313,16363.6,16713.4
314,16063.8,16398.8
315,16036.0,16338.6
316,15830.2,16216.4
317,15485.8,15830.0
318,15338.4,15646.6
319,15251.4,15534.8
320,14946.6,15216.6
321,14746.8,15051.8
322,14475.8,14775.8
323,14442.6,14661.0
324,14145.4,14351.2
325,14036.2,14281.0
326,13824.2,14065.0
327,13636.6,13838.2
328,13596.8,13939.8
329,13355.0,13595.2
330,13201.0,13491.6
331,12999.8,13291.4
332,12830.2,13065.8
333,12652.2,12914.4
334,12559.6,12747.8
335,12394.0,12571.6
336,12231.2,12403.4
337,12102.2,12312.8
338,11899.6,12040.6
339,11756.4,11943.6
340,11609.2,11821.6
341,11459.4,11584.6
342,11311.2,11460.6
343,11207.6,11399.8
344,11087.2,11236.6
345,10920.2,11131.2
346,10817.6,10953.8
347,10785.8,11000.4
348,10525.4,10701.4
349,10275.0,10398.4
350,10199.8,10305.4
351,10163.2,10297.6
352,10014.8,10189.0
353,9879.6,9975.6
354,9812.0,9917.0
355,9610.4,9716.4
356,9446.6,9561.4
357,9293.0,9415.0
358,9242.2,9362.2
359,9113.8,9253.0
360,8916.8,9037.4
